run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,strain,host,isolation_source,geo_loc_name,sample_type,isolate,lat_lon,source_material_id,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR20046041,SRP064704,Neutral_ph_hot_spring Metagenome,SRX16084522,Whole genome sequencing of Paracoccus sp. SMMA_5_TC,Whole genome sequencing of Paracoccus sp. SMMA_5_TC,Paracoccus sp. SMMA_5_TC,WGS,PAIRED,SRS5516901,,PRJNA296849,Illumina NovaSeq 6000,4437622000,SMMA_5_TC,Not applicable,"Lotus pond, a sulfur-borax hot spring",India: Trans-Himalayan region,pure culture,,,,,,Other
SRR20046043,SRP064704,Neutral_ph_hot_spring Metagenome,SRX16084520,Whole genome sequencing of Paracoccus sp. SMMA_5,Whole genome sequencing of Paracoccus sp. SMMA_5,Paracoccus sp. SMMA_5,WGS,PAIRED,SRS5516900,,PRJNA296849,Illumina NovaSeq 6000,4246300500,SMMA_5,Not applicable,"Lotus pond, a sulfur-borax hot spring",India: Trans-Himalayan region,pure culture,,,,,,Other
SRR22364517,SRP064704,Neutral_ph_hot_spring Metagenome,SRX18335150,Lotus Pond water metagenome,Lotus Pond water metagenome,hot springs metagenome,WGS,PAIRED,SRS15824181,,PRJNA296849,Illumina NovaSeq 6000,15676933000,,,Hot spring water,"India: Trans-Himalayan region of Ladakh, Lotus Pond Hot Spring",,,33.13 N 78.21 E,,,,Other
SRR2625865,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328635,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111518,,PRJNA296849,Ion Torrent PGM,1721086746,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626012,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328662,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111522,,PRJNA296849,Ion Torrent PGM,1485588149,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626152,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328704,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111537,,PRJNA296849,Ion Torrent PGM,1700524772,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626156,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328715,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111539,,PRJNA296849,Ion Torrent PGM,1239780182,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626157,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328720,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111543,,PRJNA296849,Ion Torrent PGM,1294275212,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626159,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328721,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111545,,PRJNA296849,Ion Torrent PGM,1081598289,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626160,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328722,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111547,,PRJNA296849,Ion Torrent PGM,1912040539,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626185,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328732,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111553,,PRJNA296849,Ion Torrent PGM,1134242191,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
SRR2626309,SRP064704,Neutral_ph_hot_spring Metagenome,SRX1328767,Microbial mat community in a terrestrial hot spring,Microbial mat community in a terrestrial hot spring,hot springs metagenome,WGS,SINGLE,SRS1111558,,PRJNA296849,Ion Torrent PGM,1231962250,,not applicable,Microbila mat community growing on a geothermal spring,"India: Western Puga Valley, Laddakh",,,not collected,,,,Other
