run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR9108942,SRP199213,Human gut metagenome Metagenome,SRX5883466,Human gut metagenome of sample Ladakh 9,Human gut metagenome of sample Ladakh 9,human gut metagenome,WGS,PAIRED,SRS4805996,,PRJNA531203,Illumina HiSeq 1000,9266918357,Homo sapiens,Human stool,"India: Ladakh, Jammu and Kshmir",34.425960 N 76.824421 E,,,Host human
SRR9108943,SRP199213,Human gut metagenome Metagenome,SRX5883465,Human gut metagenome of sample Jaisalmer 6,Human gut metagenome of sample Jaisalmer 6,human gut metagenome,WGS,PAIRED,SRS4805995,,PRJNA531203,Illumina HiSeq 2500,10894364400,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108944,SRP199213,Human gut metagenome Metagenome,SRX5883464,Human gut metagenome of sample Jaisalmer 5,Human gut metagenome of sample Jaisalmer 5,human gut metagenome,WGS,PAIRED,SRS4805994,,PRJNA531203,Illumina HiSeq 2500,6363281400,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108945,SRP199213,Human gut metagenome Metagenome,SRX5883463,Human gut metagenome of sample Jaisalmer 4,Human gut metagenome of sample Jaisalmer 4,human gut metagenome,WGS,PAIRED,SRS4805993,,PRJNA531203,Illumina HiSeq 2500,7262656200,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108946,SRP199213,Human gut metagenome Metagenome,SRX5883462,Human gut metagenome of sample Jaisalmer 3,Human gut metagenome of sample Jaisalmer 3,human gut metagenome,WGS,PAIRED,SRS4805992,,PRJNA531203,Illumina HiSeq 2500,8087027100,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108947,SRP199213,Human gut metagenome Metagenome,SRX5883461,Human gut metagenome of sample Jaisalmer 2,Human gut metagenome of sample Jaisalmer 2,human gut metagenome,WGS,PAIRED,SRS4805991,,PRJNA531203,Illumina HiSeq 2500,7272846900,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108948,SRP199213,Human gut metagenome Metagenome,SRX5883460,Human gut metagenome of sample Jaisalmer 1,Human gut metagenome of sample Jaisalmer 1,human gut metagenome,WGS,PAIRED,SRS4805990,,PRJNA531203,Illumina HiSeq 2500,8033978400,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
SRR9108949,SRP199213,Human gut metagenome Metagenome,SRX5883459,Human gut metagenome of sample Khargone 12,Human gut metagenome of sample Khargone 12,human gut metagenome,WGS,PAIRED,SRS4805989,,PRJNA531203,Illumina HiSeq 2500,7932513000,Homo sapiens,Human stool,"India: Khargone, Madhya Pradesh",22.226704 N 75.863329 E,,,Host human
SRR9108950,SRP199213,Human gut metagenome Metagenome,SRX5883458,Human gut metagenome of sample Khargone 11,Human gut metagenome of sample Khargone 11,human gut metagenome,WGS,PAIRED,SRS4805988,,PRJNA531203,Illumina HiSeq 2500,7035771600,Homo sapiens,Human stool,"India: Khargone, Madhya Pradesh",22.226704 N 75.863329 E,,,Host human
SRR9108951,SRP199213,Human gut metagenome Metagenome,SRX5883457,Human gut metagenome of sample Jaisalmer 8,Human gut metagenome of sample Jaisalmer 8,human gut metagenome,WGS,PAIRED,SRS4805987,,PRJNA531203,Illumina HiSeq 2500,6563297100,Homo sapiens,Human stool,"India: Jasialmer, Rajasthan",26.36539 N 70.42584 E,,,Host human
