run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,aliquot,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR10084755,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817870,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361432,,PRJNA564397,Illumina HiSeq 3000,10702990500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,105,,,Host human
SRR10084756,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817869,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361431,,PRJNA564397,Illumina HiSeq 3000,11908581300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,104,,,Host human
SRR10084757,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817868,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361430,,PRJNA564397,Illumina HiSeq 3000,11567847000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,103,,,Host human
SRR10084758,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817867,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361429,,PRJNA564397,Illumina HiSeq 3000,10001836500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,102,,,Host human
SRR10084759,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817866,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361428,,PRJNA564397,Illumina HiSeq 3000,11285824500,Homo sapiens,fecal sample,India,21.14 N 79.08 E,101,,,Host human
SRR10084760,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817865,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361427,,PRJNA564397,Illumina HiSeq 3000,3236649300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,100,,,Host human
SRR10084761,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817864,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361426,,PRJNA564397,Illumina HiSeq 3000,3366506400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,99,,,Host human
SRR10084762,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817863,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361425,,PRJNA564397,Illumina HiSeq 3000,3388161000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,98,,,Host human
SRR10084763,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817862,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361424,,PRJNA564397,Illumina HiSeq 3000,3312636300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,96,,,Host human
SRR10084764,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817861,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361423,,PRJNA564397,Illumina HiSeq 3000,3206964300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,95,,,Host human
SRR10084765,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817860,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361422,,PRJNA564397,Illumina HiSeq 3000,2935748400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,10,,,Host human
SRR10084766,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817859,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361421,,PRJNA564397,Illumina HiSeq 3000,2850133800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,94,,,Host human
