run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,isolation_source,geo_loc_name,lat_lon,host,depth,elev,env_broad_scale,env_local_scale,env_medium,cur_land_use,cur_vegetation,ph,ph__1,samp_mat_process,source_material_id,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR16117886,SRP285612,soil metagenome Raw sequence reads,SRX12403397,Shotgun metagenomic sequencing of soil sample PS,Shotgun metagenomic sequencing of soil sample PS,soil metagenome,WGS,PAIRED,SRS10372607,,PRJNA665712,Illumina MiSeq,1153762608,agricultural soil,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,,,,,,,,,,,,,,,Plant/ Fungi
SRR16117887,SRP285612,soil metagenome Raw sequence reads,SRX12403396,Shotgun metagenomic sequencing of soil sample B,Shotgun metagenomic sequencing of soil sample B,soil metagenome,WGS,PAIRED,SRS10372606,,PRJNA665712,Illumina MiSeq,1383809437,agricultural soil,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,,,,,,,,,,,,,,,Plant/ Fungi
SRR16117888,SRP285612,soil metagenome Raw sequence reads,SRX12403395,Shotgun metagenomic sequencing of rhizosphere sample R8,Shotgun metagenomic sequencing of rhizosphere sample R8,rhizosphere metagenome,WGS,PAIRED,SRS10372605,,PRJNA665712,Illumina MiSeq,1379724426,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117889,SRP285612,soil metagenome Raw sequence reads,SRX12403394,Shotgun metagenomic sequencing of rhizosphere sample R7,Shotgun metagenomic sequencing of rhizosphere sample R7,rhizosphere metagenome,WGS,PAIRED,SRS10372601,,PRJNA665712,Illumina MiSeq,1163805157,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117890,SRP285612,soil metagenome Raw sequence reads,SRX12403393,Shotgun metagenomic sequencing of rhizosphere sample R6,Shotgun metagenomic sequencing of rhizosphere sample R6,rhizosphere metagenome,WGS,PAIRED,SRS10372603,,PRJNA665712,Illumina MiSeq,1255613275,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117891,SRP285612,soil metagenome Raw sequence reads,SRX12403392,Shotgun metagenomic sequencing of rhizosphere sample R5,Shotgun metagenomic sequencing of rhizosphere sample R5,rhizosphere metagenome,WGS,PAIRED,SRS10372602,,PRJNA665712,Illumina MiSeq,1329303780,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117892,SRP285612,soil metagenome Raw sequence reads,SRX12403391,Shotgun metagenomic sequencing of rhizosphere sample R4,Shotgun metagenomic sequencing of rhizosphere sample R4,rhizosphere metagenome,WGS,PAIRED,SRS10372604,,PRJNA665712,Illumina MiSeq,1385887519,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117893,SRP285612,soil metagenome Raw sequence reads,SRX12403390,Shotgun metagenomic sequencing of rhizosphere sample R3,Shotgun metagenomic sequencing of rhizosphere sample R3,rhizosphere metagenome,WGS,PAIRED,SRS10372598,,PRJNA665712,Illumina MiSeq,1282035550,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117894,SRP285612,soil metagenome Raw sequence reads,SRX12403389,Shotgun metagenomic sequencing of soil sample PH,Shotgun metagenomic sequencing of soil sample PH,soil metagenome,WGS,PAIRED,SRS10372597,,PRJNA665712,Illumina MiSeq,1055815948,agricultural soil,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,,,,,,,,,,,,,,,Plant/ Fungi
SRR16117895,SRP285612,soil metagenome Raw sequence reads,SRX12403388,Shotgun metagenomic sequencing of rhizosphere sample R2,Shotgun metagenomic sequencing of rhizosphere sample R2,rhizosphere metagenome,WGS,PAIRED,SRS10372599,,PRJNA665712,Illumina MiSeq,1361180456,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
SRR16117896,SRP285612,soil metagenome Raw sequence reads,SRX12403387,Shotgun metagenomic sequencing of rhizosphere sample R1,Shotgun metagenomic sequencing of rhizosphere sample R1,rhizosphere metagenome,WGS,PAIRED,SRS10372600,,PRJNA665712,Illumina MiSeq,1417750472,,"India: farm near Ranakandorana, Gujarat",21.618669 N 69.865737 E,Arachis hypogaea,,,,,,,,,,,,,,Plant/ Fungi
