run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,sample no.,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR12917028,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381608,illumina metagenomic sequencing of surface water,illumina metagenomic sequencing of surface water,aquatic metagenome,WGS,PAIRED,SRS7601991,,PRJNA672704,Illumina HiSeq 2500,10000001878,not applicable,surface water,India: Vellore,12.916 N 79.132 E,10,,,Aquatic/ Marine
SRR12917029,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381607,illumina metagenomic sequencing of surface water,illumina metagenomic sequencing of surface water,aquatic metagenome,WGS,PAIRED,SRS7601990,,PRJNA672704,Illumina HiSeq 2500,8200651752,not applicable,surface water,India: Vellore,12.916 N 79.132 E,9,,,Aquatic/ Marine
SRR12917030,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381606,illumina metagenomic sequencing of wastewater,illumina metagenomic sequencing of wastewater,wastewater metagenome,WGS,PAIRED,SRS7601989,,PRJNA672704,Illumina HiSeq 2500,7729525108,not applicable,wastewater,India: Vellore,12.916 N 79.132 E,8,,,Aquatic/ Marine
SRR12917031,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381605,illumina metagenomic sequencing of wastewater,illumina metagenomic sequencing of wastewater,wastewater metagenome,WGS,PAIRED,SRS7601988,,PRJNA672704,Illumina HiSeq 2500,7088741508,not applicable,wastewater,India: Vellore,12.916 N 79.132 E,7,,,Aquatic/ Marine
SRR12917036,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381600,nanopore metagenomic sequencing of hospital wastewater,nanopore metagenomic sequencing of hospital wastewater,wastewater metagenome,WGS,SINGLE,SRS7601983,,PRJNA672704,MinION,5667603446,not applicable,hospital wastewater,India: Vellore,12.916 N 79.132 E,12,,,Aquatic/ Marine
SRR12917037,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381599,nanopore metagenomic sequencing of surface water,nanopore metagenomic sequencing of surface water,aquatic metagenome,WGS,SINGLE,SRS7601982,,PRJNA672704,MinION,3944598877,not applicable,surface water,India: Vellore,12.916 N 79.132 E,11,,,Aquatic/ Marine
SRR12917038,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381598,nanopore metagenomic sequencing of surface water,nanopore metagenomic sequencing of surface water,aquatic metagenome,WGS,SINGLE,SRS7601991,,PRJNA672704,MinION,2133806020,not applicable,surface water,India: Vellore,12.916 N 79.132 E,10,,,Aquatic/ Marine
SRR12917039,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381597,nanopore metagenomic sequencing of surface water,nanopore metagenomic sequencing of surface water,aquatic metagenome,WGS,SINGLE,SRS7601990,,PRJNA672704,MinION,2547742017,not applicable,surface water,India: Vellore,12.916 N 79.132 E,9,,,Aquatic/ Marine
SRR12917041,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381595,nanopore metagenomic sequencing of wastewater,nanopore metagenomic sequencing of wastewater,wastewater metagenome,WGS,SINGLE,SRS7601989,,PRJNA672704,MinION,4230451127,not applicable,wastewater,India: Vellore,12.916 N 79.132 E,8,,,Aquatic/ Marine
SRR12917042,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381594,nanopore metagenomic sequencing of wastewater,nanopore metagenomic sequencing of wastewater,wastewater metagenome,WGS,SINGLE,SRS7601988,,PRJNA672704,MinION,3808115343,not applicable,wastewater,India: Vellore,12.916 N 79.132 E,7,,,Aquatic/ Marine
SRR12917049,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381587,illumina metagenomic sequencing of hospital wastewater,illumina metagenomic sequencing of hospital wastewater,wastewater metagenome,WGS,PAIRED,SRS7601983,,PRJNA672704,Illumina HiSeq 2500,7456251046,not applicable,hospital wastewater,India: Vellore,12.916 N 79.132 E,12,,,Aquatic/ Marine
SRR12917050,SRP288942,Surveillance of ARGs in Environmental Waters,SRX9381586,illumina metagenomic sequencing of surface water,illumina metagenomic sequencing of surface water,aquatic metagenome,WGS,PAIRED,SRS7601982,,PRJNA672704,Illumina HiSeq 2500,6674773800,not applicable,surface water,India: Vellore,12.916 N 79.132 E,11,,,Aquatic/ Marine
