run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,samp_size,replicate,samp_collect_device,samp_mat_process,collection time,rel_to_oxygen,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR21780863,SRP400656,Whole Rumen Metagenome Sheep,SRX17775689,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301956,,PRJNA885963,NextSeq 500,6566874000,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Treatment,Stomach tube,RBBC,8:50,anaerobe,,,"Host human, Host animal and insect"
SRR21780864,SRP400656,Whole Rumen Metagenome Sheep,SRX17775688,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301955,,PRJNA885963,NextSeq 500,5880341700,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Treatment,Stomach tube,RBBC,8:45,anaerobe,,,"Host human, Host animal and insect"
SRR21780865,SRP400656,Whole Rumen Metagenome Sheep,SRX17775687,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301954,,PRJNA885963,NextSeq 500,5724832500,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Treatment,Stomach tube,RBBC,8:40,anaerobe,,,"Host human, Host animal and insect"
SRR21780866,SRP400656,Whole Rumen Metagenome Sheep,SRX17775686,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301953,,PRJNA885963,NextSeq 500,6723767400,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Treatment,Stomach tube,RBBC,8:35,anaerobe,,,"Host human, Host animal and insect"
SRR21780867,SRP400656,Whole Rumen Metagenome Sheep,SRX17775685,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301952,,PRJNA885963,NextSeq 500,5211363300,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Treatment,Stomach tube,RBBC,8:30,anaerobe,,,"Host human, Host animal and insect"
SRR21780868,SRP400656,Whole Rumen Metagenome Sheep,SRX17775684,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301951,,PRJNA885963,NextSeq 500,5536550100,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Control,Stomach tube,RBBC,8:25,anaerobe,,,"Host human, Host animal and insect"
SRR21780869,SRP400656,Whole Rumen Metagenome Sheep,SRX17775683,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301950,,PRJNA885963,NextSeq 500,6592185600,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Control,Stomach tube,RBBC,8:20,anaerobe,,,"Host human, Host animal and insect"
SRR21780870,SRP400656,Whole Rumen Metagenome Sheep,SRX17775682,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301949,,PRJNA885963,NextSeq 500,5258334000,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Control,Stomach tube,RBBC,8:15,anaerobe,,,"Host human, Host animal and insect"
SRR21780871,SRP400656,Whole Rumen Metagenome Sheep,SRX17775681,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301947,,PRJNA885963,NextSeq 500,7146374400,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Control,Stomach tube,RBBC,8:10,anaerobe,,,"Host human, Host animal and insect"
SRR21780872,SRP400656,Whole Rumen Metagenome Sheep,SRX17775680,"Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep","Effect of an anti-methanogeneic supplement on enteric methane emission, fermentation and whole rumen metagenome in sheep",sheep gut metagenome,WGS,PAIRED,SRS15301948,,PRJNA885963,NextSeq 500,5160205200,sheep,Rumen liquor,India:Bangalore,22.5645 N 72.9289 E,50 ml,replicate = biological replicate_Control,Stomach tube,RBBC,8:00,anaerobe,,,"Host human, Host animal and insect"
