run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,replicate,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR23982631,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786679,"Metagenome: buffalo rumen fluid, replicate 4","Metagenome: buffalo rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS17149743,,PRJNA949096,Illumina HiSeq 2500,5326034100,Bubalus bubalis,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR23982632,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786678,"Metagenome: buffalo rumen fluid, replicate 3","Metagenome: buffalo rumen fluid, replicate 3",bovine gut metagenome,WGS,PAIRED,SRS17149742,,PRJNA949096,Illumina HiSeq 2500,5537022000,Bubalus bubalis,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate3,,,"Host human, Host animal and insect"
SRR23982633,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786677,"Metagenome: buffalo rumen fluid, replicate 2","Metagenome: buffalo rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS17149741,,PRJNA949096,Illumina HiSeq 2500,4977672900,Bubalus bubalis,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR23982634,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786676,"Metagenome: buffalo rumen fluid, replicate 1","Metagenome: buffalo rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS17149739,,PRJNA949096,Illumina HiSeq 2500,6817011900,Bubalus bubalis,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate1,,,"Host human, Host animal and insect"
SRR23982635,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786675,"Metagenome: cattle rumen fluid, replicate 6","Metagenome: cattle rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS17149740,,PRJNA949096,Illumina HiSeq 2500,4135300500,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR23982636,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786674,"Metagenome: cattle rumen fluid, replicate 5","Metagenome: cattle rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS17149738,,PRJNA949096,Illumina HiSeq 2500,3729745800,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR23982637,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786673,"Metagenome: cattle rumen fluid, replicate 4","Metagenome: cattle rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS17149737,,PRJNA949096,Illumina HiSeq 2500,5514595500,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR23982638,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786672,"Metagenome: cattle rumen fluid, replicate 3","Metagenome: cattle rumen fluid, replicate 3",bovine gut metagenome,WGS,PAIRED,SRS17149736,,PRJNA949096,Illumina HiSeq 2500,5661550500,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate3,,,"Host human, Host animal and insect"
SRR23982639,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786671,"Metagenome: buffalo rumen fluid, replicate 6","Metagenome: buffalo rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS17149735,,PRJNA949096,Illumina HiSeq 2500,1299205361,Bubalus bubalis,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR23982640,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786670,"Metagenome: buffalo rumen fluid, replicate 5","Metagenome: buffalo rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS17149734,,PRJNA949096,Illumina HiSeq 2500,6619981200,Bubalus bubalis,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR23982641,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786669,"Metagenome: cattle rumen fluid, replicate 2","Metagenome: cattle rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS17149733,,PRJNA949096,Illumina HiSeq 2500,5338226700,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR23982642,SRP429565,Metagenome analysis of cattle and buffaloes under similar diet,SRX19786668,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS17149732,,PRJNA949096,Illumina HiSeq 2500,4997502000,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,replicate = biological replicate1,,,"Host human, Host animal and insect"
