run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,replicate,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR29517003,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027293,"Metagenome: cattle rumen fluid, replicate 4","Metagenome: cattle rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS21726651,,PRJNA1126025,Illumina HiSeq 2500,3223102092,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA10,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR29517004,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027292,"Metagenome: cattle rumen fluid, replicate 3","Metagenome: cattle rumen fluid, replicate 3",bovine gut metagenome,WGS,PAIRED,SRS21726650,,PRJNA1126025,Illumina HiSeq 2500,3526345716,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA9,replicate = biological replicate3,,,"Host human, Host animal and insect"
SRR29517005,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027291,"Metagenome: cattle rumen fluid, replicate 2","Metagenome: cattle rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS21726649,,PRJNA1126025,Illumina HiSeq 2500,3158152106,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA8,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR29517006,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027290,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS21726648,,PRJNA1126025,Illumina HiSeq 2500,2959800022,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA7,replicate = biological replicate1,,,"Host human, Host animal and insect"
SRR29517007,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027289,"Metagenome: cattle rumen fluid, replicate 6","Metagenome: cattle rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS21726647,,PRJNA1126025,Illumina HiSeq 2500,3351798470,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA6,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR29517008,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027288,"Metagenome: cattle rumen fluid, replicate 5","Metagenome: cattle rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS21726646,,PRJNA1126025,Illumina HiSeq 2500,3210939308,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA5,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR29517009,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027287,"Metagenome: cattle rumen fluid, replicate 6","Metagenome: cattle rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS21726645,,PRJNA1126025,Illumina HiSeq 2500,12816626627,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,66 ml,KA36,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR29517010,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027286,"Metagenome: cattle rumen fluid, replicate 5","Metagenome: cattle rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS21726644,,PRJNA1126025,Illumina HiSeq 2500,14709878991,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,65 ml,KA35,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR29517011,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027285,"Metagenome: cattle rumen fluid, replicate 4","Metagenome: cattle rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS21726643,,PRJNA1126025,Illumina HiSeq 2500,14768979223,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,64 ml,KA34,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR29517012,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027284,"Metagenome: cattle rumen fluid, replicate 3","Metagenome: cattle rumen fluid, replicate 3",bovine gut metagenome,WGS,PAIRED,SRS21726642,,PRJNA1126025,Illumina HiSeq 2500,13685671569,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,63 ml,KA33,replicate = biological replicate3,,,"Host human, Host animal and insect"
SRR29517013,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027283,"Metagenome: cattle rumen fluid, replicate 2","Metagenome: cattle rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS21726641,,PRJNA1126025,Illumina HiSeq 2500,14983971476,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,62 ml,KA32,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR29517014,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027282,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS21726640,,PRJNA1126025,Illumina HiSeq 2500,16418811552,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,61 ml,KA31,replicate = biological replicate1,,,"Host human, Host animal and insect"
SRR29517015,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027281,"Metagenome: cattle rumen fluid, replicate 4","Metagenome: cattle rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS21726639,,PRJNA1126025,Illumina HiSeq 2500,2769422578,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,50 ml,KA4,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR29517016,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027280,"Metagenome: cattle rumen fluid, replicate 6","Metagenome: cattle rumen fluid, replicate 6",bovine gut metagenome,WGS,PAIRED,SRS21726638,,PRJNA1126025,Illumina HiSeq 2500,8670614594,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,60 ml,KA30,replicate = biological replicate6,,,"Host human, Host animal and insect"
SRR29517017,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027279,"Metagenome: cattle rumen fluid, replicate 5","Metagenome: cattle rumen fluid, replicate 5",bovine gut metagenome,WGS,PAIRED,SRS21726637,,PRJNA1126025,Illumina HiSeq 2500,14606797958,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,59 ml,KA29,replicate = biological replicate5,,,"Host human, Host animal and insect"
SRR29517018,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027278,"Metagenome: cattle rumen fluid, replicate 4","Metagenome: cattle rumen fluid, replicate 4",bovine gut metagenome,WGS,PAIRED,SRS21726636,,PRJNA1126025,Illumina HiSeq 2500,14819804976,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,58 ml,KA28,replicate = biological replicate4,,,"Host human, Host animal and insect"
SRR29517019,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027277,"Metagenome: cattle rumen fluid, replicate 3","Metagenome: cattle rumen fluid, replicate 3",bovine gut metagenome,WGS,PAIRED,SRS21726635,,PRJNA1126025,Illumina HiSeq 2500,16701169300,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,57 ml,KA27,replicate = biological replicate3,,,"Host human, Host animal and insect"
SRR29517020,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027276,"Metagenome: cattle rumen fluid, replicate 2","Metagenome: cattle rumen fluid, replicate 2",bovine gut metagenome,WGS,PAIRED,SRS21726634,,PRJNA1126025,Illumina HiSeq 2500,17613707814,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,56 ml,KA26,replicate = biological replicate2,,,"Host human, Host animal and insect"
SRR29517021,SRP515601,"Effect of Kappaphycus alverezii on in vitro methane production, fermentation and microbial diversity",SRX25027275,"Metagenome: cattle rumen fluid, replicate 1","Metagenome: cattle rumen fluid, replicate 1",bovine gut metagenome,WGS,PAIRED,SRS21726633,,PRJNA1126025,Illumina HiSeq 2500,15578068956,Bos taurus,Rumen liquor,India: Karnataka,12.9716 N 77.5946 E,anaerobe,Stomach tube,Rumen liquor DNA was extracted using RBBC method,55 ml,KA25,replicate = biological replicate1,,,"Host human, Host animal and insect"
