run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,isolation_source,geo_loc_name,lat_lon,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR34941164,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063689,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131494,,PRJNA1304237,Illumina NovaSeq X Plus,2162520289,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941166,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063687,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131492,,PRJNA1304237,Illumina NovaSeq X Plus,3519533742,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941167,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063686,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131491,,PRJNA1304237,Illumina NovaSeq X Plus,3492167753,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941168,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063685,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131490,,PRJNA1304237,Illumina NovaSeq X Plus,4298750989,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941169,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063684,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131489,,PRJNA1304237,Illumina NovaSeq X Plus,1932111471,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941171,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063682,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131487,,PRJNA1304237,Illumina NovaSeq X Plus,3495688048,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941172,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063681,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131486,,PRJNA1304237,Illumina NovaSeq X Plus,1678145777,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941173,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063680,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131485,,PRJNA1304237,Illumina NovaSeq X Plus,3568705956,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941174,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063679,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131484,,PRJNA1304237,Illumina NovaSeq X Plus,1913571964,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941175,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063678,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131483,,PRJNA1304237,Illumina NovaSeq X Plus,2892614062,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941179,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063674,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131479,,PRJNA1304237,Illumina NovaSeq X Plus,1801624702,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941180,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063673,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131478,,PRJNA1304237,Illumina NovaSeq X Plus,3308841948,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941182,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063671,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131476,,PRJNA1304237,Illumina NovaSeq X Plus,2959794108,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941183,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063670,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131475,,PRJNA1304237,Illumina NovaSeq X Plus,2825375737,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941185,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063668,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131473,,PRJNA1304237,Illumina NovaSeq X Plus,3103081649,fecal sample,India,30.73 N 76.77 E,,,Host human
SRR34941186,SRP607955,Gut Microbiota Signatures in Indian Preterm Infants with Necrotizing Enterocolitis,SRX30063667,Preterm infant gut metagenome,Preterm infant gut metagenome,human gut metagenome,WGS,PAIRED,SRS26131472,,PRJNA1304237,Illumina NovaSeq X Plus,2231898389,fecal sample,India,30.73 N 76.77 E,,,Host human
